seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
8,40,0.575,0.525,0.625
8,41,0.56875,0.55625,0.58125
8,42,0.596875,0.6125,0.58125
8,43,0.575,0.5625,0.5875
8,44,0.575,0.58125,0.56875
8,45,0.565625,0.5625,0.56875
8,46,0.55,0.5375,0.5625
8,47,0.559375,0.55625,0.5625
8,48,0.55625,0.55625,0.55625
8,49,0.584375,0.55,0.61875
8,50,0.571875,0.53125,0.6125
8,51,0.58125,0.54375,0.61875
8,52,0.58125,0.56875,0.59375
8,53,0.56875,0.55625,0.58125
8,54,0.559375,0.5375,0.58125
8,55,0.534375,0.525,0.54375
8,56,0.521875,0.5125,0.53125
8,57,0.515625,0.50625,0.525
8,58,0.5375,0.53125,0.54375
8,59,0.546875,0.55,0.54375
8,60,0.534375,0.525,0.54375
8,61,0.534375,0.53125,0.5375
9,0,0.503125,0.5125,0.49375
9,1,0.509375,0.5,0.51875
9,2,0.49375,0.46875,0.51875
9,3,0.515625,0.5,0.53125
9,4,0.5,0.45,0.55
9,5,0.503125,0.45625,0.55
9,6,0.534375,0.51875,0.55
9,7,0.565625,0.5375,0.59375
9,8,0.56875,0.55625,0.58125
9,9,0.55625,0.5875,0.525
9,10,0.540625,0.53125,0.55
9,11,0.5375,0.53125,0.54375
9,12,0.540625,0.51875,0.5625
9,13,0.571875,0.55,0.59375
9,14,0.55,0.53125,0.56875
9,15,0.528125,0.5125,0.54375
9,16,0.528125,0.525,0.53125
9,17,0.55625,0.5625,0.55
9,18,0.575,0.55,0.6
9,19,0.58125,0.58125,0.58125
9,20,0.54375,0.5375,0.55
9,21,0.525,0.5125,0.5375
9,22,0.575,0.5375,0.6125
9,23,0.559375,0.55625,0.5625
9,24,0.559375,0.54375,0.575
9,25,0.559375,0.55,0.56875
9,26,0.559375,0.5625,0.55625
9,27,0.546875,0.51875,0.575
9,28,0.578125,0.5625,0.59375
9,29,0.590625,0.5625,0.61875
9,30,0.58125,0.54375,0.61875
9,31,0.55625,0.54375,0.56875
9,32,0.56875,0.5375,0.6
9,33,0.559375,0.525,0.59375
9,34,0.578125,0.5375,0.61875
9,35,0.54375,0.50625,0.58125
9,36,0.55625,0.54375,0.56875
9,37,0.5375,0.49375,0.58125
9,38,0.559375,0.53125,0.5875
9,39,0.559375,0.55,0.56875
9,40,0.54375,0.525,0.5625
9,41,0.53125,0.5,0.5625
9,42,0.525,0.50625,0.54375
9,43,0.56875,0.55625,0.58125
9,44,0.55625,0.53125,0.58125
9,45,0.571875,0.5625,0.58125
9,46,0.553125,0.525,0.58125
9,47,0.5625,0.5375,0.5875
9,48,0.553125,0.51875,0.5875
9,49,0.55,0.50625,0.59375
9,50,0.571875,0.5375,0.60625
9,51,0.590625,0.5625,0.61875
9,52,0.565625,0.53125,0.6
9,53,0.56875,0.5375,0.6
9,54,0.559375,0.5125,0.60625
9,55,0.575,0.5625,0.5875
9,56,0.56875,0.5625,0.575
9,57,0.575,0.54375,0.60625
9,58,0.58125,0.5625,0.6
9,59,0.575,0.55625,0.59375
9,60,0.559375,0.5625,0.55625
9,61,0.575,0.575,0.575
10,0,0.484375,0.4375,0.53125
10,1,0.496875,0.49375,0.5
10,2,0.5,0.49375,0.50625
10,3,0.509375,0.4875,0.53125
10,4,0.503125,0.475,0.53125
10,5,0.4875,0.50625,0.46875
10,6,0.478125,0.45625,0.5
10,7,0.50625,0.48125,0.53125
10,8,0.5125,0.525,0.5
10,9,0.515625,0.48125,0.55
10,10,0.515625,0.51875,0.5125
10,11,0.509375,0.50625,0.5125
10,12,0.515625,0.55625,0.475
10,13,0.5125,0.53125,0.49375
