seed,layer_index,all_accuracy,congruent_accuracy,incongruent_accuracy
19,21,0.484375,0.50625,0.4625
19,22,0.484375,0.48125,0.4875
19,23,0.509375,0.4875,0.53125
20,0,0.5,0.525,0.475
20,1,0.51875,0.51875,0.51875
20,2,0.5125,0.5,0.525
20,3,0.515625,0.5625,0.46875
20,4,0.521875,0.54375,0.5
20,5,0.51875,0.5375,0.5
20,6,0.559375,0.575,0.54375
20,7,0.553125,0.575,0.53125
20,8,0.565625,0.56875,0.5625
20,9,0.5625,0.55,0.575
20,10,0.55,0.525,0.575
20,11,0.571875,0.5875,0.55625
20,12,0.559375,0.56875,0.55
20,13,0.55,0.56875,0.53125
20,14,0.578125,0.58125,0.575
20,15,0.56875,0.56875,0.56875
20,16,0.615625,0.6,0.63125
20,17,0.615625,0.61875,0.6125
20,18,0.603125,0.6,0.60625
20,19,0.590625,0.6,0.58125
20,20,0.590625,0.5875,0.59375
20,21,0.575,0.5625,0.5875
20,22,0.596875,0.61875,0.575
20,23,0.55,0.54375,0.55625
21,0,0.4875,0.45625,0.51875
21,1,0.50625,0.475,0.5375
21,2,0.5,0.5375,0.4625
21,3,0.49375,0.475,0.5125
21,4,0.509375,0.4625,0.55625
21,5,0.515625,0.49375,0.5375
21,6,0.540625,0.49375,0.5875
21,7,0.525,0.5,0.55
21,8,0.490625,0.45,0.53125
21,9,0.51875,0.46875,0.56875
21,10,0.509375,0.5,0.51875
21,11,0.496875,0.48125,0.5125
21,12,0.5,0.53125,0.46875
21,13,0.46875,0.48125,0.45625
21,14,0.45625,0.475,0.4375
21,15,0.484375,0.5125,0.45625
21,16,0.46875,0.49375,0.44375
21,17,0.4875,0.5,0.475
21,18,0.4625,0.49375,0.43125
21,19,0.4625,0.46875,0.45625
21,20,0.478125,0.44375,0.5125
21,21,0.4625,0.4625,0.4625
21,22,0.475,0.4625,0.4875
21,23,0.471875,0.45,0.49375
22,0,0.49375,0.5125,0.475
22,1,0.490625,0.475,0.50625
22,2,0.534375,0.5125,0.55625
22,3,0.496875,0.48125,0.5125
22,4,0.515625,0.5375,0.49375
22,5,0.503125,0.5125,0.49375
22,6,0.49375,0.46875,0.51875
22,7,0.490625,0.4625,0.51875
22,8,0.4625,0.46875,0.45625
22,9,0.509375,0.475,0.54375
22,10,0.465625,0.4625,0.46875
22,11,0.521875,0.525,0.51875
22,12,0.50625,0.54375,0.46875
22,13,0.49375,0.49375,0.49375
22,14,0.48125,0.41875,0.54375
22,15,0.45,0.4125,0.4875
22,16,0.490625,0.49375,0.4875
22,17,0.471875,0.4875,0.45625
22,18,0.44375,0.45,0.4375
22,19,0.49375,0.5,0.4875
22,20,0.484375,0.49375,0.475
22,21,0.51875,0.525,0.5125
22,22,0.521875,0.51875,0.525
22,23,0.521875,0.54375,0.5
23,0,0.5125,0.5,0.525
23,1,0.496875,0.46875,0.525
23,2,0.49375,0.4875,0.5
23,3,0.4875,0.50625,0.46875
23,4,0.515625,0.49375,0.5375
23,5,0.503125,0.4625,0.54375
23,6,0.465625,0.4875,0.44375
23,7,0.49375,0.50625,0.48125
23,8,0.5125,0.55625,0.46875
23,9,0.528125,0.54375,0.5125
23,10,0.515625,0.53125,0.5
23,11,0.540625,0.5375,0.54375
23,12,0.515625,0.525,0.50625
23,13,0.5375,0.55625,0.51875
23,14,0.528125,0.55,0.50625
23,15,0.528125,0.5375,0.51875
23,16,0.55625,0.56875,0.54375
23,17,0.534375,0.54375,0.525
23,18,0.553125,0.51875,0.5875
23,19,0.5375,0.525,0.55
23,20,0.49375,0.4625,0.525
23,21,0.515625,0.475,0.55625
23,22,0.521875,0.475,0.56875
23,23,0.503125,0.4375,0.56875
24,0,0.503125,0.425,0.58125
24,1,0.48125,0.4625,0.5
24,2,0.496875,0.525,0.46875
24,3,0.484375,0.475,0.49375
24,4,0.484375,0.4625,0.50625
24,5,0.5,0.5125,0.4875
24,6,0.440625,0.4625,0.41875
24,7,0.4625,0.45625,0.46875
24,8,0.5,0.49375,0.50625
24,9,0.45625,0.46875,0.44375
24,10,0.46875,0.4625,0.475
24,11,0.515625,0.5125,0.51875
24,12,0.496875,0.5,0.49375
24,13,0.50625,0.53125,0.48125
24,14,0.46875,0.45625,0.48125
24,15,0.434375,0.4375,0.43125
24,16,0.465625,0.51875,0.4125
24,17,0.45,0.475,0.425
24,18,0.465625,0.45,0.48125
24,19,0.4625,0.4625,0.4625
24,20,0.453125,0.44375,0.4625
24,21,0.484375,0.4875,0.48125
24,22,0.48125,0.48125,0.48125
24,23,0.465625,0.475,0.45625
25,0,0.50625,0.475,0.5375
25,1,0.49375,0.48125,0.50625
25,2,0.51875,0.5125,0.525
25,3,0.53125,0.5125,0.55
25,4,0.5125,0.475,0.55
25,5,0.509375,0.53125,0.4875
25,6,0.496875,0.50625,0.4875
25,7,0.51875,0.54375,0.49375
25,8,0.4875,0.53125,0.44375
25,9,0.478125,0.46875,0.4875
25,10,0.496875,0.5125,0.48125
25,11,0.509375,0.475,0.54375
