seed,max_accuracy
563,0.55
564,0.521875
565,0.571875
566,0.565625
567,0.590625
568,0.54375
569,0.540625
570,0.575
571,0.540625
572,0.528125
573,0.56875
574,0.525
575,0.528125
576,0.553125
577,0.521875
578,0.565625
579,0.609375
580,0.515625
581,0.5375
582,0.521875
583,0.53125
584,0.553125
585,0.521875
586,0.521875
587,0.53125
588,0.55
589,0.5125
590,0.571875
591,0.559375
592,0.55625
593,0.51875
594,0.525
595,0.534375
596,0.540625
597,0.55625
598,0.584375
599,0.5375
600,0.53125
601,0.565625
602,0.5875
603,0.5125
604,0.525
605,0.53125
606,0.521875
607,0.521875
608,0.50625
609,0.528125
610,0.559375
611,0.53125
612,0.578125
613,0.51875
614,0.5375
615,0.55625
616,0.525
617,0.565625
618,0.55
619,0.525
620,0.540625
621,0.534375
622,0.528125
623,0.525
624,0.565625
625,0.53125
626,0.534375
627,0.553125
628,0.5375
629,0.5625
630,0.553125
631,0.509375
632,0.525
633,0.521875
634,0.56875
635,0.553125
636,0.53125
637,0.56875
638,0.5
639,0.525
640,0.540625
641,0.5625
642,0.55625
643,0.5125
644,0.546875
645,0.55625
646,0.5375
647,0.55
648,0.509375
649,0.496875
650,0.5125
651,0.528125
652,0.521875
653,0.534375
654,0.55625
655,0.534375
656,0.5375
657,0.5875
658,0.540625
659,0.5625
660,0.515625
661,0.553125
662,0.53125
663,0.534375
664,0.528125
665,0.5625
666,0.5375
667,0.565625
668,0.534375
669,0.546875
670,0.521875
671,0.509375
672,0.503125
673,0.546875
674,0.578125
675,0.575
676,0.553125
677,0.5375
678,0.53125
679,0.51875
680,0.553125
681,0.528125
682,0.51875
683,0.55625
684,0.540625
685,0.5625
686,0.5625
687,0.525
688,0.55
689,0.5125
690,0.5
691,0.528125
692,0.5
693,0.546875
694,0.546875
695,0.571875
696,0.528125
697,0.540625
698,0.59375
699,0.56875
700,0.58125
701,0.525
702,0.540625
703,0.565625
704,0.553125
705,0.58125
706,0.546875
707,0.503125
708,0.515625
709,0.5
710,0.5625
711,0.525
712,0.509375
713,0.5625
714,0.534375
715,0.528125
716,0.54375
717,0.51875
718,0.528125
719,0.55
720,0.490625
721,0.5375
722,0.521875
723,0.5375
724,0.578125
725,0.565625
726,0.503125
727,0.55
728,0.534375
729,0.53125
730,0.51875
731,0.578125
732,0.521875
733,0.509375
734,0.540625
735,0.553125
736,0.55625
737,0.528125
738,0.534375
739,0.53125
740,0.509375
741,0.553125
742,0.553125
743,0.55
744,0.534375
745,0.53125
746,0.521875
747,0.51875
748,0.521875
749,0.525
750,0.559375
751,0.534375
752,0.584375
753,0.51875
754,0.553125
755,0.51875
756,0.53125
757,0.59375
758,0.540625
759,0.5625
760,0.503125
761,0.525
762,0.559375
763,0.5125
764,0.55625
765,0.53125
766,0.5125
767,0.534375
768,0.5375
769,0.553125
770,0.53125
771,0.525
772,0.534375
